order_id,order_date,shipped_date,status,comments,order_amount,customer_id,store_id
O1000073,2022-12-27,2022-12-29,completed,,210.65,7924486,S179
O1001272,2022-06-10,2022-06-14,completed,,73.01,1651157,S285
O1002888,2022-08-18,2022-08-23,completed,,65.72,1651157,S79
O1003811,2022-06-28,2022-06-30,completed,,83.02,5846784,S74
O1005880,2022-12-20,2022-12-21,completed,,85.61,6256169,S162
O1005951,2022-01-01,2022-01-03,completed,Holiday Promotion,100.25,3546748,S133
O1007401,2022-04-22,2022-04-26,abandoned,,101.31,5901024,S459
O1008054,2022-01-05,2022-01-06,completed,,80.97,5116299,S206
O1009502,2022-11-27,2022-11-29,completed,,184.23,7414843,S416
O1010210,2022-12-03,2022-12-05,completed,,247.38,8429733,S207
O1010971,2022-12-14,2022-12-15,canceled,,78.42,7157384,S172
O1013479,2022-11-20,2022-11-21,completed,,88.31,4905409,S10
O1014509,2022-04-27,2022-04-29,completed,,163.01,3996829,S119
O1018018,2022-10-28,2022-11-02,completed,,78.56,4692843,S153
O1018756,2022-08-09,2022-08-10,completed,,74.2,2980922,S37
O1020625,2022-08-11,2022-08-16,completed,,60.04,7816785,S243
O1021478,2022-11-21,2022-11-22,completed,,111.6,5564515,S19
O1021822,2022-04-19,2022-04-20,completed,,75.38,1787308,S401
O1022200,2022-01-23,2022-01-25,completed,,104.0,8204342,S473
O1026290,2022-01-30,2022-02-01,completed,,79.27,3411177,S260
O1027192,2022-07-28,2022-07-29,completed,,49.05,8961362,S178
O1027533,2022-12-20,2022-12-21,completed,,312.78,9142446,S90
O1030136,2022-02-17,2022-02-18,completed,,69.86,1821050,S458
O1034296,2022-11-23,2022-11-25,abandoned,,142.12,9282121,S485
O1035896,2022-09-24,2022-09-28,completed,,59.07,1826642,S315
O1040784,2022-11-05,2022-11-09,completed,,85.62,8430127,S285
O1042214,2022-05-25,2022-05-26,completed,,71.04,1026283,S311
O1042282,2022-02-08,2022-02-10,abandoned,,71.54,1384106,S403
O1042404,2022-04-07,2022-04-08,completed,,76.55,5116624,S333
O1042467,2022-01-14,2022-01-18,completed,,74.16,2445583,S179
O1044508,2022-12-31,2023-01-04,completed,,134.7,4773102,S330
O1045783,2022-12-15,2022-12-16,completed,,70.47,6403176,S149
O1046452,2022-05-12,2022-05-17,completed,,52.62,5649841,S249
O1047200,2022-12-23,2022-12-27,completed,,139.74,4367749,S278
O1047310,2022-10-27,2022-10-28,completed,,46.45,1877912,S74
O1050069,2022-04-24,2022-04-25,completed,,125.56,3325611,S222
O1050074,2022-11-28,2022-11-29,completed,,221.17,9796925,S470
O1050983,2022-12-28,2022-12-29,completed,,200.61,3809926,S257
O1051128,2022-04-29,2022-05-04,completed,,226.88,7764129,S117
O1051786,2022-08-29,2022-08-31,completed,,80.96,2291315,S457
O1052900,2022-12-27,2022-12-29,completed,,190.54,1131806,S113
O1053007,2022-05-30,2022-05-31,completed,Holiday Promotion,60.63,6666669,S54
O1055191,2022-04-08,2022-04-12,completed,,87.24,7498031,S30
O1055911,2022-02-21,2022-02-22,abandoned,Holiday Promotion,53.44,5945778,S323
O1056489,2022-02-07,2022-02-09,completed,,95.11,5600078,S366
O1057064,2022-02-11,2022-02-16,canceled,,83.08,5447561,S130
O1057482,2022-12-05,2022-12-07,completed,,90.45,2069469,S191
O1058995,2022-11-21,2022-11-23,completed,,89.56,3142438,S392
O1063785,2022-02-06,2022-02-08,completed,,50.6,2556439,S445
O1064700,2022-09-22,2022-09-27,completed,,81.18,3809926,S32
O1065503,2022-04-07,2022-04-12,completed,,96.73,1659149,S102
O1065836,2022-01-23,2022-01-24,completed,,74.83,7845205,S213
O1066017,2022-05-18,2022-05-20,abandoned,,91.83,9416976,S210
O1066050,2022-12-29,2023-01-03,canceled,,225.79,9089647,S32
O1066631,2022-09-23,2022-09-28,abandoned,,70.15,2604717,S247
O1069242,2022-07-26,2022-07-27,completed,,99.12,2628567,S263
O1069530,2022-10-22,2022-10-26,completed,,63.2,9375024,S17
O1069926,2022-11-25,2022-11-30,completed,,156.54,8864962,S73
O1070169,2022-10-18,2022-10-19,abandoned,,67.96,1831395,S261
O1071073,2022-12-10,2022-12-14,completed,,46.38,9960338,S381
O1071902,2022-04-12,2022-04-14,completed,,74.69,2339702,S167
O1072207,2022-03-03,2022-03-08,completed,,90.04,2054625,S250
O1073081,2022-07-12,2022-07-14,completed,,73.32,8261935,S108
O1074134,2022-03-15,2022-03-16,completed,,46.9,4548639,S14
O1074898,2022-04-14,2022-04-15,abandoned,,73.65,7435861,S494
O1075066,2022-07-17,2022-07-19,completed,,93.96,1361719,S54
O1076171,2022-12-26,2022-12-27,completed,Holiday Promotion,186.2,4367749,S271
O1076386,2022-07-25,2022-07-26,completed,,69.69,1651157,S70
O1078752,2022-07-14,2022-07-15,completed,,66.09,8283612,S335
O1080324,2022-12-26,2022-12-28,completed,Holiday Promotion,164.56,1992771,S24
O1081238,2022-11-25,2022-11-29,completed,,152.71,9767794,S337
O1082481,2022-07-16,2022-07-20,completed,,68.89,1821050,S492
O1084082,2022-02-24,2022-02-25,completed,,55.95,3749534,S412
O1084198,2022-07-04,2022-07-06,completed,Holiday Promotion,89.64,6798847,S465
O1085399,2022-10-14,2022-10-19,completed,,91.99,7132612,S147
O1087730,2022-04-14,2022-04-15,completed,,91.69,8590536,S10
O1089337,2022-09-08,2022-09-09,completed,,80.6,5945778,S74
O1090319,2022-12-19,2022-12-21,completed,,216.66,5067507,S126
O1091020,2022-06-24,2022-06-28,completed,,187.18,2232078,S145
O1091470,2022-11-21,2022-11-22,completed,,88.08,9944325,S227
O1093482,2022-06-07,2022-06-08,completed,,44.63,6277907,S336
O1094371,2022-04-01,2022-04-05,completed,,81.98,1755992,S428
O1094805,2022-12-16,2022-12-20,completed,,84.79,3756577,S301
O1095279,2022-04-02,2022-04-06,completed,,88.81,6694665,S45
O1095344,2022-12-20,2022-12-21,completed,,110.37,2238688,S239
O1097703,2022-02-03,2022-02-04,completed,,73.03,7375629,S263
O1098093,2022-08-15,2022-08-17,completed,,67.08,3952868,S377
O1099176,2022-02-08,2022-02-09,completed,,59.41,2238688,S195
O1099558,2022-06-28,2022-06-29,completed,,68.72,5447561,S371
O1100536,2022-02-04,2022-02-09,completed,,60.9,7219639,S355
O1101298,2022-04-03,2022-04-04,canceled,,63.05,6700229,S379
O1106317,2022-10-05,2022-10-06,completed,,70.92,9064738,S355
O1106689,2022-07-24,2022-07-26,completed,,59.19,6821021,S471
O1107686,2022-05-22,2022-05-23,completed,,81.14,7375629,S276
O1110542,2022-03-07,2022-03-08,completed,,90.84,2562370,S103
O1111592,2022-09-24,2022-09-26,completed,,54.55,2530929,S442
O1114148,2022-07-30,2022-08-03,completed,,76.38,1517277,S320
O1116096,2022-03-13,2022-03-14,completed,,92.64,4005087,S138
O1116217,2022-03-01,2022-03-03,abandoned,,82.9,2177956,S227
O1116263,2022-09-30,2022-10-05,completed,,84.77,9411129,S25
O1118617,2022-05-19,2022-05-20,completed,,67.54,6368625,S350
O1118977,2022-11-29,2022-11-30,completed,,219.48,9394009,S7
O1119907,2022-07-20,2022-07-22,completed,,99.79,6798847,S122
O1120903,2022-10-28,2022-11-02,completed,,90.2,8259287,S334
O1121059,2022-08-19,2022-08-23,abandoned,,86.21,9786338,S428
O1122205,2022-11-21,2022-11-23,completed,,85.86,2465583,S364
O1124052,2022-12-25,2022-12-27,completed,Holiday Promotion,173.34,3711825,S460
O1125262,2022-07-03,2022-07-07,canceled,,75.42,3185358,S350
O1131566,2022-03-05,2022-03-07,abandoned,,90.69,6737523,S108
O1133083,2022-02-09,2022-02-11,completed,,58.36,5557682,S184
O1134591,2022-08-27,2022-08-29,completed,,74.81,9684686,S146
O1134807,2022-08-05,2022-08-10,completed,,73.5,2304841,S497
O1134816,2022-08-26,2022-08-31,completed,,75.68,5809273,S364
O1134875,2022-08-22,2022-08-24,completed,,79.46,8527479,S311
O1135221,2022-02-16,2022-02-17,completed,,73.16,4640089,S412
O1136529,2022-10-21,2022-10-25,abandoned,,53.59,2231458,S198
O1136700,2022-07-17,2022-07-18,completed,,77.94,2238688,S490
O1136917,2022-08-24,2022-08-26,abandoned,,89.52,7219639,S395
O1137629,2022-12-03,2022-12-07,completed,,184.16,3445550,S246
O1141469,2022-08-13,2022-08-17,completed,,62.42,7443791,S322
O1142773,2022-07-10,2022-07-12,completed,,85.45,6798847,S23
O1143148,2022-03-29,2022-03-31,completed,,70.18,1553800,S472
O1150077,2022-12-11,2022-12-13,completed,,93.72,3926673,S207
O1150272,2022-05-12,2022-05-17,completed,,66.05,5854321,S493
O1150950,2022-01-03,2022-01-05,completed,,75.9,9089647,S254
O1151895,2022-09-05,2022-09-07,completed,Holiday Promotion,85.91,1054421,S296
O1152752,2022-03-03,2022-03-04,completed,,67.53,6883579,S237
O1152942,2022-04-01,2022-04-06,completed,,235.77,1293401,S15
O1153972,2022-11-14,2022-11-15,completed,,94.54,1699933,S439
O1155268,2022-10-06,2022-10-11,completed,,80.58,5562020,S227
O1155557,2022-10-16,2022-10-17,completed,,68.5,4005087,S240
O1161876,2022-04-01,2022-04-05,completed,,67.37,7673327,S387
O1162887,2022-10-29,2022-11-02,completed,,67.69,6250131,S348
O1164644,2022-12-19,2022-12-21,completed,,53.23,1514422,S184
O1164898,2022-02-28,2022-03-02,completed,,62.2,7891266,S343
O1166657,2022-05-09,2022-05-10,completed,,85.97,6726101,S148
O1166702,2022-03-29,2022-03-31,completed,,61.21,8185168,S261
O1168881,2022-01-01,2022-01-03,completed,Holiday Promotion,82.55,6277907,S348
O1171803,2022-11-25,2022-11-29,completed,,142.91,1517450,S313
O1173783,2022-10-20,2022-10-21,completed,,89.26,2790238,S465
O1173995,2022-11-01,2022-11-03,completed,,63.72,7033472,S208
O1178372,2022-01-16,2022-01-18,completed,,67.67,4197836,S24
O1178514,2022-10-22,2022-10-24,completed,,86.84,2267541,S313
O1180278,2022-09-01,2022-09-02,completed,,94.08,4283669,S379
O1181521,2022-03-19,2022-03-23,completed,,57.2,2908091,S465
O1181904,2022-01-29,2022-02-02,completed,,95.8,8100132,S10
O1182619,2022-10-04,2022-10-05,completed,,77.66,6798847,S369
O1186654,2022-07-28,2022-07-29,completed,,82.84,2291315,S275
O1187415,2022-02-20,2022-02-24,completed,,82.41,4617973,S330
O1190828,2022-11-21,2022-11-23,completed,,96.52,1919370,S362
O1190907,2022-04-19,2022-04-20,completed,,73.62,5892386,S174
O1190980,2022-06-16,2022-06-21,abandoned,,55.47,7132008,S302
O1192154,2022-10-25,2022-10-26,completed,,65.13,8135277,S125
O1193364,2022-05-30,2022-05-31,completed,Holiday Promotion,80.88,4260176,S426
O1194355,2022-09-13,2022-09-14,completed,,87.15,9827217,S326
O1196623,2022-01-09,2022-01-11,completed,,83.61,9329577,S306
O1197353,2022-12-07,2022-12-09,completed,,66.68,8259287,S220
O1198530,2022-07-29,2022-08-03,completed,,80.37,2656228,S130
O1200855,2022-06-12,2022-06-13,completed,,63.94,7223842,S246
O1202900,2022-04-04,2022-04-06,completed,,67.27,8864962,S338
O1203646,2022-11-23,2022-11-27,completed,,98.96,8672306,S465
O1204004,2022-11-22,2022-11-27,abandoned,,115.36,1711889,S403
O1205651,2022-06-25,2022-06-27,completed,,76.16,2030831,S252
O1206003,2022-02-25,2022-03-02,completed,,84.78,4197836,S153
O1207003,2022-12-26,2022-12-28,completed,Holiday Promotion,194.62,6386299,S487
O1208234,2022-11-30,2022-12-02,completed,,244.32,1651157,S64
O1208355,2022-01-10,2022-01-11,canceled,,45.01,1899035,S291
O1209664,2022-05-19,2022-05-24,completed,,72.78,9607327,S269
O1212232,2022-08-02,2022-08-04,completed,,63.21,9944325,S196
O1213566,2022-06-30,2022-07-05,completed,,56.18,5088725,S243
O1215444,2022-10-30,2022-11-01,completed,,74.25,6256169,S96
O1216538,2022-06-03,2022-06-07,completed,,72.97,1730225,S237
O1217578,2022-06-19,2022-06-21,completed,Holiday Promotion,61.53,1282904,S50
O1217581,2022-11-27,2022-11-28,abandoned,,168.77,2177401,S85
O1218500,2022-01-12,2022-01-14,completed,,74.12,9526485,S351
